,Line
393,"”    “I can’t complain,” answered Wilson unconvincingly"
394, “When are you  going to sell me that car
395,”    “Next week; I’ve got my man working on it now
396,"”    “Works pretty slow, don’t he"
397,"”    “No, he doesn’t,” said Tom coldly"
398," “And if you feel that way about it,  maybe I’d better sell it somewhere else after all"
399,"”    “I don’t mean that,” explained Wilson quickly"
400, “I just meant—”    His voice faded off and Tom glanced impatiently around the garage
401,"  Then I heard footsteps on a stairs, and in a moment the thickish  figure of a woman blocked out the light from the office door"
402," She was  in the middle thirties, and faintly stout, but she carried her flesh  sensuously as some women can"
403," Her face, above a spotted dress of dark  blue crêpe-de-chine, contained no facet or gleam of beauty, but there  was an immediately perceptible vitality about her as if the nerves of  her body were continually smouldering"
404," She smiled slowly and, walking  through her husband as if he were a ghost, shook hands with Tom,  looking him flush in the eye"
405," Then she wet her lips, and without  turning around spoke to her husband in a soft, coarse voice:    “Get some chairs, why don’t you, so somebody can sit down"
406,"”    “Oh, sure,” agreed Wilson hurriedly, and went toward the little  office, mingling immediately with the cement colour of the walls"
407," A  white ashen dust veiled his dark suit and his pale hair as it veiled  everything in the vicinity—except his wife, who moved close to Tom"
408,"    “I want to see you,” said Tom intently"
409, “Get on the next train
410,”    “All right
411,”    “I’ll meet you by the newsstand on the lower level
412,”    She nodded and moved away from him just as George Wilson emerged with  two chairs from his office door
413,    We waited for her down the road and out of sight
414," It was a few days  before the Fourth of July, and a grey, scrawny Italian child was  setting torpedoes in a row along the railroad track"
415,"    “Terrible place, isn’t it,” said Tom, exchanging a frown with Doctor  Eckleburg"
416,    “Awful
417,”    “It does her good to get away
418,”    “Doesn’t her husband object
419,”    “Wilson
420, He thinks she goes to see her sister in New York
421, He’s so  dumb he doesn’t know he’s alive
422,"”    So Tom Buchanan and his girl and I went up together to New York—or not  quite together, for Mrs"
423, Wilson sat discreetly in another car
424, Tom  deferred that much to the sensibilities of those East Eggers who might  be on the train
425,"    She had changed her dress to a brown figured muslin, which stretched  tight over her rather wide hips as Tom helped her to the platform in  New York"
426," At the newsstand she bought a copy of Town Tattle and a  moving-picture magazine, and in the station drugstore some cold cream  and a small flask of perfume"
427," Upstairs, in the solemn echoing drive  she let four taxicabs drive away before she selected a new one,  lavender-coloured with grey upholstery, and in this we slid out from  the mass of the station into the glowing sunshine"
428," But immediately she  turned sharply from the window and, leaning forward, tapped on the  front glass"
429,"    “I want to get one of those dogs,” she said earnestly"
430, “I want to get  one for the apartment
431, They’re nice to have—a dog
432,”    We backed up to a grey old man who bore an absurd resemblance to John  D
433, Rockefeller
434, In a basket swung from his neck cowered a dozen very  recent puppies of an indeterminate breed
435,    “What kind are they
436,” asked Mrs
437," Wilson eagerly, as he came to the  taxi-window"
438,    “All kinds
439," What kind do you want, lady"
440,”    “I’d like to get one of those police dogs; I don’t suppose you got  that kind
441,"”    The man peered doubtfully into the basket, plunged in his hand and  drew one up, wriggling, by the back of the neck"
442,"    “That’s no police dog,” said Tom"
